Time,Money,Total Income, Factory Income, Click Income,Quartz Click Power,Quartz Factories,Quartz Factory Cost,Topaz Click Power,Topaz Factories,Topaz Factory Cost,Amethyst Click Power,Amethyst Factories,Amethyst Factory Cost,Sapphire Click Power,Sapphire Factories,Sapphire Factory Cost,Emerald Click Power,Emerald Factories,Emerald Factory Cost,Ruby Click Power,Ruby Factories,Ruby Factory Cost,Diamond Click Power,Diamond Factories,Diamond Factory Cost,Rainbow Click Power,Rainbow Factories,Rainbow Factory Cost,
62,517936.4767820311,728,728,0,1,39,2795.097873753416,1,20,2454.980608941912,1,3,3041.749999999999,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
63,559221.4961730893,729,729,0,1,39,2795.097873753416,1,21,2823.2277002831993,1,3,3041.749999999999,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
64,600639.7461730893,741,741,0,1,39,2795.097873753416,1,21,2823.2277002831993,1,4,3498.012499999999,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
65,651304.6482993359,891,891,0,1,40,3214.362554816428,1,21,2823.2277002831993,1,4,3498.012499999999,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
66,702001.4205990527,892,892,0,1,40,3214.362554816428,1,22,3246.7118553256787,1,4,3498.012499999999,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
67,753027.0580442363,904,904,0,1,41,3696.5169380388925,1,22,3246.7118553256787,1,4,3498.012499999999,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
68,804080.3461889105,905,905,0,1,41,3696.5169380388925,1,23,3733.71863362453,1,4,3498.012499999999,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
69,855602.3336889106,917,917,0,1,41,3696.5169380388925,1,23,3733.71863362453,1,5,4022.7143749999987,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
70,915925.8167508717,1067,1067,0,1,42,4250.994478744726,1,23,3733.71863362453,1,5,4022.7143749999987,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
71,976272.0981172472,1068,1068,0,1,42,4250.994478744726,1,24,4293.7764286682095,1,5,4022.7143749999987,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
72,1037049.3837422472,1080,1080,0,1,42,4250.994478744726,1,24,4293.7764286682095,1,6,4626.121531249998,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
